d_vendor_name,d_fiscal_year,total
2587517 ONTARIO,2018-2019,127652.93999999999
9117 6479 QUEBEC,2019-2020,429700.452887538
9117 6479 QUEBEC,2020-2021,165950.55711246203
AATOAA,2018-2019,113108.94391566265
AATOAA,2019-2020,155427.80213855422
AATOAA,2020-2021,96913.310992763
ACCESS INFORMATION PROTECTED,2017-2018,51340.48371350366
ACCESS INFORMATION PROTECTED,2018-2019,51340.48371350366
ACCESS INFORMATION PROTECTED,2019-2020,51481.14257299271
ACCESS INFORMATION PROTECTED,2020-2021,107203.69851851852
AFFINITY BRIDGE CONSULTING,2018-2019,172148.26642335768
AFFINITY BRIDGE CONSULTING,2019-2020,44414.233576642335
AKUFEN ATELIER CREATIF,2017-2018,329743.1034482758
AKUFEN ATELIER CREATIF,2018-2019,310877.6692462881
AKUFEN ATELIER CREATIF,2019-2020,6747.418263590145
AKUFEN ATELIER CREATIF,2020-2021,85739.14096794525
AMAZON WEB SERVICES,2019-2020,27235.09032786885
AMAZON WEB SERVICES,2020-2021,327701.5483022681
AMAZON WEB SERVICES CANADA,2020-2021,380159.08875
APPLE CANADA,2017-2018,118194.8
APPLE CANADA,2018-2019,83395.79631436315
APPLE CANADA,2019-2020,121489.75600370842
APPLE CANADA,2020-2021,254766.35768192846
APPLIED ELECTONICS,2017-2018,777045.6293570643
APPLIED ELECTONICS,2018-2019,375504.9261121862
APPLIED ELECTONICS,2019-2020,817052.8162147936
APPLIED ELECTONICS,2020-2021,1700121.775218706
ARC MOTION CONTROL,2017-2018,73165.96
ARRI CANADA,2017-2018,38302.109589041094
ARRI CANADA,2018-2019,46982.71805882686
ARRI CANADA,2019-2020,177893.11924346627
ARRI CANADA,2020-2021,7076.26310866575
ASG TECHNOLOGIES GROUP,2017-2018,75831.16
ATEMPO,2018-2019,94675.50475218658
ATEMPO,2019-2020,102710.61524781342
ATEMPO,2020-2021,85111.61
AVALON CORPORATE SOLUTIONS,2017-2018,22500
AVALON CORPORATE SOLUTIONS,2018-2019,63466.2
BELL CANADA,2017-2018,76015.73780397348
BELL CANADA,2018-2019,235451.30607361303
BELL CANADA,2019-2020,564726.2419392423
BELL CANADA,2020-2021,88085.51292933094
BUSINESS INTERIORS ONTARIO,2017-2018,88762.20000000001
CDW CANADA,2017-2018,84753.73999999999
CDW CANADA,2019-2020,11354.93
CDW CANADA,2020-2021,20339.420000000002
CENTRE FRANCO ONTARIEN DE RESSOURCES PEDAGOGIQUES,2017-2018,277395.3488372093
CEV,2017-2018,989545.7213114754
CEV,2018-2019,17910.37801305221
CEV,2019-2020,41421.834666757946
CEV,2020-2021,265819.14343130094
CFS CONSULTANTS EN SECURITE,2018-2019,27697.032519480523
CFS CONSULTANTS EN SECURITE,2019-2020,18867.847480519482
CFS CONSULTANTS EN SECURITE,2020-2021,20925.45
CHRISTIE LITES SALES,2019-2020,242938.62
CISCO SYSTEMS CAPITAL CANADA LE,2019-2020,29013.99101488498
CISCO SYSTEMS CAPITAL CANADA LE,2020-2021,42024.233017591345
CISION CANADA,2018-2019,883.3072282608696
CISION CANADA,2019-2020,80822.61138586956
CISION CANADA,2020-2021,177940.50894662045
CISION QUEBEC,2019-2020,23727.0747706422
CISION QUEBEC,2020-2021,123719.74701834861
CLEAR K,2017-2018,79600
CMDN PRODUCTIONS,2017-2018,38992.407732864674
CMDN PRODUCTIONS,2018-2019,45367.592267135326
COULEUR POINT TV,2017-2018,321499.756097561
CREOS EXPERTS CONSEILS,2017-2018,348526.36842105264
CREOS EXPERTS CONSEILS,2018-2019,67187.08
CREOS EXPERTS CONSEILS,2019-2020,69874.34807692308
CREOS EXPERTS CONSEILS,2020-2021,300048.67115384614
CSI LEASING CANADA,2017-2018,83151.44
CSI LEASING CANADA,2018-2019,32501.410544871793
CSI LEASING CANADA,2019-2020,927033.8826306902
CSI LEASING CANADA,2020-2021,1380227.6707689348
DAINTY PRODUCTIONS,2017-2018,50616.03897760035
DAINTY PRODUCTIONS,2018-2019,72607.57241480472
DAINTY PRODUCTIONS,2019-2020,3347.0886075949365
DATROX COMPUTER TECHNOLOGIES,2018-2019,77718.90000000001
DATROX COMPUTER TECHNOLOGIES,2019-2020,58200
DATROX COMPUTER TECHNOLOGIES,2020-2021,10778.91
DELL COMPUTER,2017-2018,321.7935766423357
DELL COMPUTER,2018-2019,21381.495148132246
DELL COMPUTER,2019-2020,117095.19524415857
DELL COMPUTER,2020-2021,193239.7397287126
DELOITTE AND TOUCHE,2019-2020,5481.873484848485
DELOITTE AND TOUCHE,2020-2021,66696.1273989899
DENMAN DIGITAL,2017-2018,9848.48484848485
DENMAN DIGITAL,2018-2019,15151.515151515152
DENMAN DIGITAL,2019-2020,10450
DENMAN DIGITAL,2020-2021,80988.55421686747
DEPARTEMENT STUDIO CREATIF,2017-2018,38400
DEPARTEMENT STUDIO CREATIF,2018-2019,266575.9034234234
DEPARTEMENT STUDIO CREATIF,2019-2020,168570.05657657658
DEPARTEMENT STUDIO CREATIF,2020-2021,25640.88075949367
DIGITAL FILM TECHNOLOGY,2017-2018,34558.37761643835
DIGITAL FILM TECHNOLOGY,2018-2019,46035.795
DIGITAL FILM TECHNOLOGY,2019-2020,57482.20169013099
DIGITAL FILM TECHNOLOGY,2020-2021,88155.89618848017
ECHAFAUDS PLUS LAVAL,2017-2018,95387.8
ESPACES TEMPS MONTREAL,2017-2018,16000
ESPACES TEMPS MONTREAL,2018-2019,72519.45999999999
EYESTEEL FILMS,2019-2020,63477.904141689374
EYESTEEL FILMS,2020-2021,10520.055858310627
F2 TECHNOLOGIES,2017-2018,81906.43999999999
F2 TECHNOLOGIES,2018-2019,72241.16873063255
F2 TECHNOLOGIES,2019-2020,7213.531269367448
F2 TECHNOLOGIES,2020-2021,19531.085589041097
FACEBOOK,2017-2018,48831.759999999995
FACEBOOK,2018-2019,99798.84
FACEBOOK,2019-2020,154583.67
FACEBOOK,2020-2021,377502.1
FELIX PAUL STUDIOS,2018-2019,143718.77000000002
FINALE EDITWORKS,2018-2019,35197.442500000005
FINALE EDITWORKS,2019-2020,17950.9375
FINALE EDITWORKS,2020-2021,15705.59
GLOBAL MECHANIC MEDIA,2017-2018,14625
GLOBAL MECHANIC MEDIA,2018-2019,67856.25
GOSSELIN PHOTO VIDEO,2019-2020,18957.08
GOSSELIN PHOTO VIDEO,2020-2021,69671.80911111111
GROUPE API,2019-2020,21852.57146895296
GROUPE API,2020-2021,39757.84347643289
GROUPE LA GUERILLA,2017-2018,30392.156862745098
GROUPE LA GUERILLA,2018-2019,69047.09313725491
GROUPE LA GUERILLA,2019-2020,49439.25
GROUPE LA GUERILLA,2020-2021,98878.5
HELIX MANAGEMENT CONSULTING SERVICES,2017-2018,180800
HELIX MANAGEMENT CONSULTING SERVICES,2018-2019,41700
IBM CANADA,2017-2018,33468.97
IBM CANADA,2018-2019,73015.595
IBM CANADA,2019-2020,53480.639814814815
IBM CANADA,2020-2021,52223.47111738857
IMAGES ET TECHNOLOGIE,2017-2018,32854.4
IMAGES ET TECHNOLOGIE,2019-2020,13304.34
IMAGES ET TECHNOLOGIE,2020-2021,42968.450000000004
INTERGALACTIC AGENCY,2017-2018,27440
INTERGALACTIC AGENCY,2018-2019,70498.3125
INTERGALACTIC AGENCY,2019-2020,93782.6210106383
INTERGALACTIC AGENCY,2020-2021,30068.8164893617
