d_vendor_name,d_fiscal_year,total
2734444 ONTARIO HAVE THE EDGE,2020-2021,6064.810126582279
ADAMS COMPANY,2020-2021,1477.5725593667546
ADIRONDACK IN JOINT VENTURE WITH AMITA ARTEMP AND THE AIM GROUP,2020-2021,13814.958217270196
BEAUCHEMIN MARIO,2020-2021,4855.263157894738
BETTY DION ENTERPRISES,2020-2021,14928.440366972476
BOARDROOM METRICS,2020-2021,27120
BRECKENHILL,2019-2020,21148.188298969075
BRECKENHILL,2020-2021,18684.32170103093
CHIDIAC AND ASSOCIATES,2020-2021,20340
CONTRACT COMMUNITY,2020-2021,39832.5
CSA GROUP,2019-2020,9805.785123966942
CSA GROUP,2020-2021,49461.62615308199
EASTERN PARTITIONS,2020-2021,31698.6
HARMONY TRANSLATIONS,2020-2021,1477.5725593667546
MACKINNON CHARLTON,2020-2021,2944.162436548223
MELTWATER NEWS CANADA,2020-2021,8092.447916666666
MNP CONSULTING,2020-2021,17530.864197530864
OPENCONCEPT CONSULTING,2020-2021,60000
SENEZ CONSULTING,2020-2021,33900
SIGMA RISK MANAGEMENT,2020-2021,17740.042372881355
SIGN LANGUAGE INTERPRETING ASSOCIATES OTTAWA,2020-2021,45603.305785123965
SIMZER DESIGN,2019-2020,30976.524962742176
SIMZER DESIGN,2020-2021,64499.41673985435
SPINAL CORD INJURY CANADA,2019-2020,4454.492753623188
SPINAL CORD INJURY CANADA,2020-2021,33965.50724637681
THE RIGHT DOOR CONSULTING SOLUTIONS,2019-2020,11784.746686046512
THE RIGHT DOOR CONSULTING SOLUTIONS,2020-2021,60298.28587628547
