d_vendor_name,d_fiscal_year,total
1026219 B C UNLIMITED LIABILITY COMPANY,2020-2021,26904
1955886 ALBERTA,2019-2020,9847.962962962964
1955886 ALBERTA,2020-2021,1387.0370370370372
3696693 CANADA,2017-2018,22305.16
4TE,2019-2020,11300
ACNIELSEN COMPANY OF CANADA,2018-2019,77727.05
ADFARM PARTNERSHIP,2018-2019,21000
ADVANCED BUSINESS INTERIORS,2019-2020,31486.809999999998
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,40579.880000000005
AG WEST BIO,2019-2020,30000
ALPHINAT,2018-2019,13650
ALTIS HUMAN RESOURCES,2017-2018,24139.245514705883
ANTHONY MACAULEY ASSOCIATES VICTORIA,2018-2019,420357.53316480084
ANTHONY MACAULEY ASSOCIATES VICTORIA,2019-2020,291706.27683519927
ASOKAN BUSINESS INTERIORS,2019-2020,17091.25
ASSEMBLY OF FIRST NATIONS ALBERTA ASSOCIATION,2018-2019,10672.131147540984
ASSEMBLY OF FIRST NATIONS ALBERTA ASSOCIATION,2019-2020,10327.868852459018
AVI SPL CANADA,2017-2018,252551.37999999998
AVI SPL CANADA,2018-2019,93309.45008196721
AVI SPL CANADA,2019-2020,98951.13366120218
AVI SPL CANADA,2020-2021,21959.659928063476
AYRSONICS,2019-2020,10151.19
BENCHMARK PUBLIC RELATIONS,2019-2020,10500
BOYDEN CALGARY,2019-2020,52500
BRITISH COLUMBIA INNOVATION COUNCIL,2018-2019,24937.499999999996
CANADA WEST FOUNDATION,2017-2018,20828.85
CANADA WEST FOUNDATION,2018-2019,30355.32994923858
CANADA WEST FOUNDATION,2019-2020,34644.67005076142
CANADIAN INSTITUTE OF EXPONENTIAL GROWTH,2018-2019,6615
CANADIAN INSTITUTE OF EXPONENTIAL GROWTH,2019-2020,7560
CANON,2019-2020,5858.160000000001
CARAHSOFT TECHNOLOGY,2018-2019,4290.689589041095
CARAHSOFT TECHNOLOGY,2019-2020,13110.440410958901
CARVEIRA GROUP CONSULTING,2019-2020,7479.271356783919
CARVEIRA GROUP CONSULTING,2020-2021,14570.72864321608
CDW CANADA,2020-2021,22867.881147540986
CHASE OFFICE INTERIORS,2019-2020,19585.149999999998
CLIFTON ENGINEERING GROUP,2019-2020,367500
CLUSTER NAVIGATORS,2018-2019,82702.34342105263
CLUSTER NAVIGATORS,2019-2020,4424.506578947368
CNW GROUP,2019-2020,12995
DELOITTE AND TOUCHE,2017-2018,21000
DELOITTE AND TOUCHE,2018-2019,49350
DELOITTE AND TOUCHE,2020-2021,26250
ECONOMIC MODELING,2019-2020,33661.31386861314
ECONOMIC MODELING,2020-2021,67138.68613138687
EDGEWOOD HOLDINGS 2013,2019-2020,27300
ENTWISTLE GARY,2019-2020,19950
ENVIRONICS ANALYTICS GROUP,2019-2020,3439.7913816689465
ENVIRONICS ANALYTICS GROUP,2020-2021,12189.55198358413
EPERFORMANCE,2019-2020,32240.25
EQUIFAX CANADA,2019-2020,4202.906666666667
EQUIFAX CANADA,2020-2021,8405.813333333334
ERNST YOUNG,2020-2021,26250
FOX TRANSLATIONS,2019-2020,22600
FOX TRANSLATIONS,2020-2021,22600
FRASER LIKELY PR C PERFORMANCE,2017-2018,49720
GELINAS ANGIE,2019-2020,21245.7
GLOBAL FEDERATION OF COMPETITIVENESS COUNCILS,2018-2019,9502.629508196722
GLOBAL FEDERATION OF COMPETITIVENESS COUNCILS,2019-2020,30107.67049180328
GLOBAL FEDERATION OF COMPETITIVENESS COUNCILS,2020-2021,9116.55
GLOBAL KNOWLEDGE,2019-2020,10815
GLOBAL TOTAL OFFICE,2019-2020,24617.56
GREGORY SPENCER,2018-2019,12665.131313131313
GREGORY SPENCER,2019-2020,20330.868686868685
HAWORTH,2018-2019,12270.44
HONGER INNOVATIONS,2018-2019,23520
INNOVATE BC,2018-2019,21827.4
INSTITUTE ON GOVERNANCE,2018-2019,22499.999999999996
J KENT STEWART CONSULTING,2018-2019,15750
KISIK,2018-2019,4276.56462962963
KISIK,2019-2020,5764.065370370371
LIONBRIDGE,2018-2019,49720
LIONBRIDGE,2019-2020,39550
LUXURY HOTELS INTERNATIONAL OF CANADA,2019-2020,46320.96
MARK MACLEOD,2019-2020,99720
MAVIS MCRAE,2018-2019,17500
MAVIS MCRAE,2019-2020,14000
MCCARTHY TETRAULT,2017-2018,100000
MCCRUM S DIRECT SALES,2019-2020,12703.680000000002
MEDISTAT,2020-2021,10500
MELCHER MEDIA DESIGN,2019-2020,51187.5
MELTWATER NEWS CANADA,2019-2020,16950
MELTWATER NEWS CANADA,2020-2021,17515
MICROSOFT CANADA,2017-2018,67796.30435797665
MICROSOFT CANADA,2019-2020,176315.6346890888
MICROSOFT CANADA,2020-2021,35234.66804817402
MNP,2019-2020,135286.35
MNP,2020-2021,110260.85999999999
NISHA TECHONOLOGIES,2019-2020,28042.190000000002
OFFSET MARKET EXCHANGE,2020-2021,73450
OPENTEXT,2019-2020,30826.35
OPENTEXT,2020-2021,35336.32
ORACLE CANADA,2018-2019,148.10644808743172
ORACLE CANADA,2019-2020,13403.63355191257
OXFORD ECONOMICS USA,2018-2019,202805.38
PASCALE GREGOIRE,2019-2020,22600
PASCALE GREGOIRE,2020-2021,22600
PATH COWORK SPACE,2019-2020,5880
PATH COWORK SPACE,2020-2021,11760
PERFORMANCE INSTITUTE ON GOVERNANCE,2017-2018,20000
PLAN4WARD CONSULTING,2018-2019,19425
POWER HR,2020-2021,15120
PRAIRIE RESEARCH ASSOCIATES,2018-2019,29064
PRICEWATERHOUSE COOPERS,2017-2018,20780.1
PRICEWATERHOUSE COOPERS,2018-2019,51424.799999999996
PUBLIC POLICY FORUM,2019-2020,12430
R J R INNOVATIONS,2017-2018,5358.802191780822
R J R INNOVATIONS,2018-2019,16374.117808219178
REFINITIV CANADA HOLDINGS,2019-2020,12307.377049180328
REFINITIV CANADA HOLDINGS,2020-2021,4072.622950819672
REGINA DOWNTOWN HOTEL,2019-2020,16670.66
SHIRLEY LESLIE TOOGOOD DONNA HARRIS,2019-2020,22680
SKYRIDGE SYSTEMS,2017-2018,39181.565
SKYRIDGE SYSTEMS,2018-2019,14420.465
SKYRIDGE SYSTEMS,2019-2020,21000
SOFTCHOICE,2017-2018,3952.1712328767126
SOFTCHOICE,2018-2019,12076.078767123288
SOLUTIONS WORKPLACE FURNISHINGS,2019-2020,11842.140000000001
SYNERGY OUTCOMES,2017-2018,17718.75
TAG HR THE ASSOCIATES GROUP,2017-2018,20748.58
TENEN CONSULTING,2017-2018,24999.45
TENEN CONSULTING,2018-2019,25000
TENEN CONSULTING,2019-2020,31499.999999999996
