d_vendor_name,d_fiscal_year,total
1595769 ONTARIO,2020-2021,299999.99000000005
2151706 ONTARIO,2020-2021,299999.99000000005
2KEYS,2019-2020,102434.5
4 OFFICE AUTOMATION,2018-2019,8845.379048278497
4 OFFICE AUTOMATION,2019-2020,29780.012617659628
4 OFFICE AUTOMATION,2020-2021,31817.09755240303
440 LAURIER HOLDINGS,2018-2019,158970.2120890774
440 LAURIER HOLDINGS,2019-2020,274448.5737009544
440 LAURIER HOLDINGS,2020-2021,273698.71420996817
8417377 CANADA,2020-2021,124836.75
9149481 CANADA,2020-2021,89089.2
ABCE LANGUAGE SCHOOL,2019-2020,32000.030000000002
ABCE LANGUAGE SCHOOL,2020-2021,55356
ABI AMEUBLEMENT BUREAU INTERIEUR,2019-2020,93434.38
ADIRONDACK INFORMATION MANAGEMENT I,2019-2020,101700
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,18974.880464480873
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,164767.43331634105
ALLSEATING,2019-2020,221239.1
ALTIS HUMAN RESOURCES,2020-2021,127126.844104062
APPLIED ELECTONICS,2020-2021,284727.88
BRC BUSINESS ENTREPRISES,2019-2020,183781.4
BRECKENHILL,2019-2020,72079.06625560539
BRECKENHILL,2020-2021,63613.03958381068
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,1609866.31
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,2068212.56
CANON,2019-2020,27021.3563449692
CANON,2020-2021,66329.56650185195
CANTRONIC SYSTEMS CANADA,2020-2021,78538.51
CBCI TELECOM CANADA,2020-2021,181452.56
CDW CANADA,2019-2020,600214.9435519126
CDW CANADA,2020-2021,553451.0564480874
CIRCA F N OFFICE INTERIORS,2019-2020,64383.74
CIRCA F N OFFICE INTERIORS,2020-2021,22063.13
CISTEL TECHNOLOGY,2018-2019,14767.188765432098
CISTEL TECHNOLOGY,2019-2020,88603.13259259259
CISTEL TECHNOLOGY,2020-2021,141238.5186419753
CLOSEREACH,2020-2021,288426.43776824034
COLLEGE EDUCACENTRE COLLEGE,2019-2020,21005.710874576274
COLLEGE EDUCACENTRE COLLEGE,2020-2021,68313.75030189432
CONOSCENTI TECHNOLOGIES,2017-2018,166405.57437255996
CONOSCENTI TECHNOLOGIES,2018-2019,166405.57437255996
CONOSCENTI TECHNOLOGIES,2019-2020,166861.48005577247
CONOSCENTI TECHNOLOGIES,2020-2021,284155.2558205238
CORADIX TECHNOLOGY CONSULTING,2019-2020,103818.75
D DOYLE INSTALLATIONS,2019-2020,81454.67
DECISIVE TECHNOLOGIES,2019-2020,219948.23
DELOITTE AND TOUCHE,2019-2020,24860
DELOITTE AND TOUCHE,2020-2021,419470.71622511646
DER GRAPHICS,2019-2020,126295.44
DER GRAPHICS,2020-2021,29560.8
DIGITSCRIBE,2019-2020,632800
DIGITSCRIBE,2020-2021,467259.99000000005
DURHAM REPORTING,2020-2021,299999.99000000005
ECOGREEN CLEANING,2020-2021,66390.32697547684
ELEVATED THINKING,2019-2020,209191.25
EQUASION BUSINESS,2018-2019,209508.97052775873
EQUASION BUSINESS,2019-2020,304596.52962302946
EQUASION BUSINESS,2020-2021,210663.2899246059
EVALUATION PERSONNEL SELECTION,2019-2020,101119.39431034484
EVALUATION PERSONNEL SELECTION,2020-2021,12753.949568965516
EXCEL HUMAN RESOURCES,2019-2020,198790.96
EXTERMINATION AXON ET GESTION,2019-2020,89614.65000000001
FACTIVA,2019-2020,32015.16
FACTIVA,2020-2021,35216.68
FITCH SURVEILANCE SYSTEMS,2019-2020,75879.5
FITCH SURVEILANCE SYSTEMS,2020-2021,33222
GARTNER,2019-2020,5704.30871536524
GARTNER,2020-2021,142838.2058873745
GLOBAL UPHOLSTERY,2019-2020,290622.8
HEARTZAP SERVICES,2020-2021,76996.62
HYPERTEC,2019-2020,134511.7
HYPERTEC,2020-2021,416645.12
IFATHOM,2018-2019,170927.4593467686
IFATHOM,2019-2020,284823.5674079222
IFATHOM,2020-2021,321925.9866226546
INLINE SYSTEMS,2019-2020,64917.58
INTEGRA NETWORKS,2020-2021,337011.37
INTERNATIONAL REPORTING,2019-2020,477986.68
INTERNATIONAL REPORTING,2020-2021,1072395.022745098
IRON MOUNTAIN CANADA OPERATIONS,2019-2020,244891.03
IRON MOUNTAIN CANADA OPERATIONS,2020-2021,265806.67000000004
JANICE M COCHRANE,2019-2020,223535.57395348838
JANICE M COCHRANE,2020-2021,157792.90870276163
LUMINA IT,2019-2020,44896.61595854923
LUMINA IT,2020-2021,40473.30404145078
LYNDA NAVEDA CONSULTING,2019-2020,60481.90476190476
LYNDA NAVEDA CONSULTING,2020-2021,52518.09523809524
MAKWA RESOURCING,2020-2021,102293.24999999999
MAPLESOFT CONSULTING,2017-2018,174797.82414947017
MAPLESOFT CONSULTING,2018-2019,281548.9547727764
MAPLESOFT CONSULTING,2019-2020,522355.52038738993
MAPLESOFT CONSULTING,2020-2021,647974.6954365988
MDOS CONSULTING,2020-2021,102830
MICROSOFT CANADA,2019-2020,277569.7366132186
MICROSOFT CANADA,2020-2021,276811.3493547126
"NACRIS",2020-2021,246435.1414529258
