d_vendor_name,d_fiscal_year,total
ABI AMEUBLEMENT BUREAU INTERIEUR,2017-2018,78710.13
APPAREL TRIMMINGS,2020-2021,283380.27
APPLIED ELECTONICS,2017-2018,238126.57
APPLIED ELECTONICS,2018-2019,14876.6
APPLIED ELECTONICS,2019-2020,124642.09562841529
APPLIED ELECTONICS,2020-2021,107714.4043715847
ASOKAN BUSINESS INTERIORS,2017-2018,48971.94
ASOKAN BUSINESS INTERIORS,2019-2020,276861.08
AVI SPL CANADA,2017-2018,117752.02
BANCTEC CANADA,2017-2018,4057.0145753424663
BANCTEC CANADA,2018-2019,21041.465424657537
BANCTEC CANADA,2020-2021,71300.45
BAYSHORE HEALTHCARE,2017-2018,10735
BELL CANADA,2020-2021,362299.98
CANADIAN CORPS OF COMMISSIONAIRES,2017-2018,13464.149999999998
CANADIAN CORPS OF COMMISSIONAIRES,2018-2019,2076591.3800000001
CANADIAN CORPS OF COMMISSIONAIRES,2019-2020,1994374.57
CANADIAN CORPS OF COMMISSIONAIRES,2020-2021,1946386.804568493
CANON,2020-2021,810210
CBCI TELECOM,2017-2018,12037.48
CDW CANADA,2018-2019,214086.97999999998
CDW CANADA,2019-2020,10379.05
CISTEL TECHNOLOGY,2020-2021,82485.48
CONEXSYS,2017-2018,157288.7
CONEXSYS,2018-2019,305434.3
CONEXSYS,2019-2020,314597.56
CONOSCENTI TECHNOLOGIES,2018-2019,116784.72602739725
CONOSCENTI TECHNOLOGIES,2019-2020,153002.77397260274
CONOSCENTI TECHNOLOGIES,2020-2021,354267.38356164383
CORADIX TECHNOLOGY CONSULTING,2017-2018,710848.2831325302
COSSETTE COMMUNICATIONS,2019-2020,30633.17
DELL COMPUTER,2018-2019,45697.2
DELL COMPUTER,2020-2021,134201.3911111111
DELOITTE AND TOUCHE,2018-2019,24905.2
DELOITTE AND TOUCHE,2019-2020,67389.53188718154
DELOITTE AND TOUCHE,2020-2021,181519.63854292597
DONNA CONA,2018-2019,24012.5
DONNA CONA,2019-2020,24860
DONNA CONA,2020-2021,124300
EBSCO CANADA,2017-2018,89690.925
EBSCO CANADA,2018-2019,4720.575
EBSCO CANADA,2020-2021,81550.97
ECLIPSYS SOLUTIONS,2017-2018,334641.357128025
ECLIPSYS SOLUTIONS,2018-2019,59362.08887197502
ECLIPSYS SOLUTIONS,2019-2020,146317.81999999998
ECLIPSYS SOLUTIONS,2020-2021,5824.550131233596
ECOLE DE LANGUES LA CITE,2018-2019,114285.71428571428
ECOLE DE LANGUES LA CITE,2019-2020,285714.2857142857
ECOLE DE LANGUES LA CITE,2020-2021,280000
ELSEVIER,2017-2018,27605.8798630137
ELSEVIER,2018-2019,98246.24013698631
ELSEVIER,2019-2020,26157.442527322404
ELSEVIER,2020-2021,117745.27341087448
ERNST YOUNG,2017-2018,65513.6186770428
ERNST YOUNG,2018-2019,160486.3813229572
ERNST YOUNG,2020-2021,11735.05
ESRI,2017-2018,1050441.0497981366
ESRI,2018-2019,61162.55020186335
ESRI,2019-2020,13561.130000000001
ESRI,2020-2021,113741.21523698277
EXCEL HUMAN RESOURCES,2017-2018,277980.37999999995
EXCEL HUMAN RESOURCES,2018-2019,36535.729999999996
FACTIVA,2017-2018,50709.295058823525
FACTIVA,2018-2019,325431.5449411764
FACTIVA,2019-2020,369916.8
FAST FORWARD FRENCH,2019-2020,34440
FAST FORWARD FRENCH,2020-2021,13605.2
FELIX TECHNOLOGY,2020-2021,16145.89
FISHER SCIENTIFIC COMPANY,2017-2018,29204.879999999997
FUJITSU,2018-2019,350338.9655172414
FUJITSU,2019-2020,527671.0344827586
GARTNER,2017-2018,245017.20652054794
GARTNER,2018-2019,329052.00745205476
GARTNER,2019-2020,91132.15146986257
GARTNER,2020-2021,647769.6533794525
GENERAL MOTORS,2020-2021,35613.08
GENESIS INTEGRATION,2017-2018,305017.58714285714
GENESIS INTEGRATION,2018-2019,89081.94285714286
GENESIS INTEGRATION,2019-2020,121396.8
GILMORE REPRODUCTIONS,2018-2019,71323.02541720154
GILMORE REPRODUCTIONS,2019-2020,53883.62880616174
GILMORE REPRODUCTIONS,2020-2021,337414.9957766367
GLASSHOUSE SYSTEMS,2019-2020,9920.105573770492
GLASSHOUSE SYSTEMS,2020-2021,26705.976974174715
GLOBAL UPHOLSTERY,2017-2018,130292.15
GLOBAL UPHOLSTERY,2019-2020,43224.759999999995
GRAND TOY,2017-2018,12370.17
GRAND TOY,2019-2020,25484.14
GRAND TOY,2020-2021,132823.67
GRAYBRIDGE INTERNATIONAL CONSULTING,2020-2021,232847.8
HAWORTH,2017-2018,18316.62
I4C CONSULTING,2017-2018,24857.74
IBM CANADA,2017-2018,110415.98120802958
IBM CANADA,2018-2019,25051.052495674117
IBM CANADA,2019-2020,49705.310000000005
IBM CANADA,2020-2021,708450.6769672132
INFO TECH RESEARCH GROUP,2017-2018,123806.96476964769
INFO TECH RESEARCH GROUP,2018-2019,96007.97236127152
INFO TECH RESEARCH GROUP,2019-2020,19489.081699102855
INFO TECH RESEARCH GROUP,2020-2021,44977.991169977926
