d_vendor_name,d_fiscal_year,total
ACCESS 2 NETWORKS,2019-2020,160838.55
ACCESS 2 NETWORKS,2020-2021,48016.864
ADVANCED BUSINESS INTERIORS,2017-2018,50985.27
ADVANCED BUSINESS INTERIORS,2018-2019,112425.96
ADVANCED BUSINESS INTERIORS,2019-2020,40561.82
ADVANCED CHIPPEWA TECHNOLOGIES,2019-2020,50568.84500000001
ADVANCED CHIPPEWA TECHNOLOGIES,2020-2021,55136.245
ARTEMP PERSONNEL SERVICES,2018-2019,15657.004353562006
ARTEMP PERSONNEL SERVICES,2019-2020,212239.39234828498
ARTEMP PERSONNEL SERVICES,2020-2021,211659.50329815305
AVI SPL CANADA,2018-2019,87873.23000000001
BELL CANADA,2017-2018,3617.531310386473
BELL CANADA,2018-2019,3617.531310386473
BELL CANADA,2019-2020,45274.22003284072
BELL CANADA,2020-2021,102260.5422003284
BLACKBERRY,2017-2018,19520.3
BLACKBERRY,2019-2020,10477.54
CDW CANADA,2018-2019,23594.4
CDW CANADA,2019-2020,16485.135
CDW CANADA,2020-2021,70369.7455733945
CISION CANADA,2017-2018,16950
CISTEL TECHNOLOGY,2017-2018,91470.76612903226
CNW GROUP,2017-2018,13560.000000000002
CNW GROUP,2019-2020,14060.89709762533
CNW GROUP,2020-2021,13059.102902374669
CORADIX TECHNOLOGY CONSULTING,2017-2018,283122.7545337344
CORADIX TECHNOLOGY CONSULTING,2018-2019,292763.0672744751
CORADIX TECHNOLOGY CONSULTING,2019-2020,90470.62725925924
COSSETTE COMMUNICATIONS,2017-2018,869619.75
COSSETTE COMMUNICATIONS,2018-2019,608613.2494791666
COSSETTE COMMUNICATIONS,2019-2020,926925.9905208333
COSSETTE COMMUNICATIONS,2020-2021,1808000
CSDC SYSTEMS,2019-2020,14569.270000000002
DELL COMPUTER,2019-2020,40232.96703296703
DELL COMPUTER,2020-2021,81583.51648351648
DELOITTE AND TOUCHE,2017-2018,96813.82256196288
DELOITTE AND TOUCHE,2018-2019,264722.21730058006
DELOITTE AND TOUCHE,2019-2020,30326.831271477666
DELOITTE AND TOUCHE,2020-2021,30243.97107674685
DONNA CONA,2019-2020,14125
DYNAMIC PERSONNEL CONSULTANTS,2017-2018,26546.394674657535
ECOLE DE LANGUES ABCE,2018-2019,2013.006289308176
ECOLE DE LANGUES ABCE,2019-2020,43313.393710691824
EKOS RESEARCH ASSOCIATES,2018-2019,42017.958679245276
EKOS RESEARCH ASSOCIATES,2019-2020,189858.9244025157
EKOS RESEARCH ASSOCIATES,2020-2021,378159.93646369356
ENTRUST,2017-2018,29678.681763271506
ENTRUST,2018-2019,29685.418037514708
ENTRUST,2019-2020,13.472548486406463
ENTRUST,2020-2021,13.435738244640325
ENVIRONICS RESEARCH GROUP,2018-2019,133858.7573055774
ENVIRONICS RESEARCH GROUP,2019-2020,154932.89269442263
ENVIRONICS RESEARCH GROUP,2020-2021,36612.630727272735
ERNST YOUNG,2017-2018,17356.8
GARTNER,2017-2018,45620.885455498166
GARTNER,2018-2019,37140.47744730679
GARTNER,2019-2020,455449.1238095238
GARTNER,2020-2021,1482074.9
GOSS GILROY,2018-2019,44144.32440476191
GOSS GILROY,2019-2020,117078.42559523809
HAWORTH,2017-2018,21517.47
HYPERTEC,2019-2020,97688.5
HYPERTEC,2020-2021,61020
IBM CANADA,2020-2021,38872
INSA,2019-2020,158194.78
INTEGRA NETWORKS,2019-2020,23954.69
IRON MOUNTAIN,2017-2018,6677.644285714285
IRON MOUNTAIN,2018-2019,19935.43571428571
IRON MOUNTAIN,2019-2020,361.4206349206349
IRON MOUNTAIN,2020-2021,10147.579365079364
KONICA MINOLTA BUSINESS SOLUTIONS,2017-2018,20042.76618754278
KONICA MINOLTA BUSINESS SOLUTIONS,2018-2019,20524.652019164954
KONICA MINOLTA BUSINESS SOLUTIONS,2019-2020,10779.632744695415
KONICA MINOLTA BUSINESS SOLUTIONS,2020-2021,5862.944284736482
KPMG,2017-2018,20010.964912280702
KPMG,2018-2019,4989.035087719299
LANSDOWNE TECHNOLOGIES,2020-2021,90400
MICROSOFT CANADA,2017-2018,86489.85779846659
MICROSOFT CANADA,2018-2019,164816.07779846658
MICROSOFT CANADA,2019-2020,254843.6640214163
MICROSOFT CANADA,2020-2021,731450.0716411121
MISHKUMI TECHNOLOGIES,2017-2018,203824.9
