d_vendor_name,d_fiscal_year,total
4IMPRINT,2017-2018,20317.22
6564437 CANADA SOCIUS RECHERCHE ET CONSEILS,2020-2021,22765.05
ADR EDUCATION,2019-2020,23656.55
ADVANCED BUSINESS INTERIORS,2020-2021,22530.5
ALTIS HUMAN RESOURCES,2017-2018,23336.25
ALTIS HUMAN RESOURCES,2019-2020,227169.81999999998
ALTIS HUMAN RESOURCES,2020-2021,13148.186301369862
AMANDA MILLS,2018-2019,24975
ASOKAN BUSINESS INTERIORS,2018-2019,23857.309999999998
ASOKAN BUSINESS INTERIORS,2019-2020,61258.67
AVI SPL CANADA,2017-2018,60422.2874523742
AVI SPL CANADA,2018-2019,314983.5154420437
AVI SPL CANADA,2019-2020,149851.4594749481
AVI SPL CANADA,2020-2021,47128.769671232876
BGIS,2017-2018,42827.42
BGIS,2018-2019,26388.07
BGIS,2019-2020,27028.89
BGIS,2020-2021,39046.17
BLACKBERRY,2019-2020,1181.1700819672133
BLACKBERRY,2020-2021,73246.73991803278
BMB CONSULTING SERVICES,2017-2018,24408
BOYDEN,2020-2021,40680
BOYDEN OTTAWA,2017-2018,79453.5264908257
C B Z,2018-2019,45476.58743732591
C B Z,2019-2020,25252.8454178273
C B Z,2020-2021,25183.8485724234
CANADIAN PARENTS FOR FRENCH,2017-2018,21750
CMG OFFICE INTERIORS,2019-2020,75731.51
CMG OFFICE INTERIORS,2020-2021,23865.72
CONVERSART CONSULTING,2017-2018,36949.8
CORASADIE CONSULTING,2019-2020,39663
CORPORATE RESEARCH ASSOCIATES,2017-2018,7152.570422535211
CORPORATE RESEARCH ASSOCIATES,2018-2019,12762.429577464787
CRESTRON CANADA C O AVI SPL,2018-2019,69729.53
CRESTVIEW STRATEGY,2019-2020,39290
DELL COMPUTER,2020-2021,41064.47
DEMENAGEMENT SELECT,2020-2021,22995
EDGAR,2018-2019,26408.074555403557
EDGAR,2019-2020,26480.425444596443
EDGAR,2020-2021,0
EDUCALOI,2017-2018,29893.5
EN CLAIR SERVICE CONSEIL,2017-2018,29818.77
ERGOWORKS CANADA,2017-2018,33966.219999999994
